starttime	seconds	ctime	dtime	ttime	wait
Sun Jul 19 20:14:44 2020	1595169884	718	225	943	225
Sun Jul 19 20:14:44 2020	1595169884	724	233	957	233
Sun Jul 19 20:14:44 2020	1595169884	702	266	968	265
Sun Jul 19 20:14:44 2020	1595169884	725	245	970	242
Sun Jul 19 20:14:43 2020	1595169883	750	221	972	221
Sun Jul 19 20:14:41 2020	1595169881	671	301	973	298
Sun Jul 19 20:14:44 2020	1595169884	701	279	981	257
Sun Jul 19 20:14:44 2020	1595169884	699	282	981	261
Sun Jul 19 20:14:43 2020	1595169883	737	246	983	244
Sun Jul 19 20:14:44 2020	1595169884	724	266	990	265
Sun Jul 19 20:14:41 2020	1595169881	766	228	994	227
Sun Jul 19 20:14:43 2020	1595169883	783	223	1007	223
Sun Jul 19 20:14:43 2020	1595169883	772	235	1007	233
Sun Jul 19 20:14:42 2020	1595169882	775	234	1009	234
Sun Jul 19 20:14:43 2020	1595169883	769	241	1010	239
Sun Jul 19 20:14:42 2020	1595169882	705	305	1010	304
Sun Jul 19 20:14:44 2020	1595169884	745	265	1010	248
Sun Jul 19 20:14:43 2020	1595169883	773	237	1010	236
Sun Jul 19 20:14:42 2020	1595169882	778	236	1014	236
Sun Jul 19 20:14:42 2020	1595169882	766	247	1014	247
Sun Jul 19 20:14:42 2020	1595169882	788	230	1019	230
Sun Jul 19 20:14:42 2020	1595169882	789	233	1022	232
Sun Jul 19 20:14:42 2020	1595169882	790	232	1022	231
Sun Jul 19 20:14:43 2020	1595169883	782	242	1024	242
Sun Jul 19 20:14:43 2020	1595169883	791	236	1026	235
Sun Jul 19 20:14:43 2020	1595169883	783	245	1028	245
Sun Jul 19 20:14:43 2020	1595169883	716	314	1030	313
Sun Jul 19 20:14:41 2020	1595169881	797	233	1030	226
Sun Jul 19 20:14:42 2020	1595169882	769	263	1031	257
Sun Jul 19 20:14:41 2020	1595169881	792	240	1032	240
Sun Jul 19 20:14:44 2020	1595169884	745	288	1033	282
Sun Jul 19 20:14:44 2020	1595169884	765	269	1033	262
Sun Jul 19 20:14:29 2020	1595169869	753	288	1041	288
Sun Jul 19 20:14:41 2020	1595169881	798	243	1041	243
Sun Jul 19 20:14:41 2020	1595169881	729	313	1042	313
